,nse_symbol,screener_symbol,screener_url,nse_name,ticker_symbol
190,CRISIL,CRISIL,https://www.screener.in/company/CRISIL/consolidated/,CRISIL Limited,CRISIL
191,AIAENG,AIAENG,https://www.screener.in/company/AIAENG/consolidated/,AIA Engineering Limited,AIAENG
192,FEDERALBNK,FEDERALBNK,https://www.screener.in/company/FEDERALBNK/consolidated/,The Federal Bank  Limited,FEDERALBNK
193,IREDA,IREDA,https://www.screener.in/company/IREDA/,Indian Renewable Energy Development Agency Limited,IREDA
194,VOLTAS,VOLTAS,https://www.screener.in/company/VOLTAS/consolidated/,Voltas Limited,VOLTAS
195,DALBHARAT,DALBHARAT,https://www.screener.in/company/DALBHARAT/consolidated/,Dalmia Bharat Limited,DALBHARAT
196,POONAWALLA,POONAWALLA,https://www.screener.in/company/POONAWALLA/consolidated/,Poonawalla Fincorp Limited,POONAWALLA
197,MEDANTA,MEDANTA,https://www.screener.in/company/MEDANTA/consolidated/,Global Health Limited,MEDANTA
198,IRB,IRB,https://www.screener.in/company/IRB/consolidated/,IRB Infrastructure Developers Limited,IRB
199,3MINDIA,3MINDIA,https://www.screener.in/company/3MINDIA/,3M India Limited,3MINDIA
200,MFSL,MFSL,https://www.screener.in/company/MFSL/consolidated/,Max Financial Services Limited,MFSL
201,M&MFIN,M&MFIN,https://www.screener.in/company/M&MFIN/consolidated/,Mahindra & Mahindra Financial Services Limited,SCRIP-132720
202,UPL,UPL,https://www.screener.in/company/UPL/consolidated/,UPL Limited,UPL
203,HONAUT,HONAUT,https://www.screener.in/company/HONAUT/,Honeywell Automation India Limited,HONAUT
204,BSE,BSE,https://www.screener.in/company/BSE/consolidated/,BSE Limited,BSE
205,FLUOROCHEM,FLUOROCHEM,https://www.screener.in/company/FLUOROCHEM/consolidated/,Gujarat Fluorochemicals Limited,FLUOROCHEM
206,COFORGE,COFORGE,https://www.screener.in/company/COFORGE/consolidated/,Coforge Limited,COFORGE
207,LICHSGFIN,LICHSGFIN,https://www.screener.in/company/LICHSGFIN/consolidated/,LIC Housing Finance Limited,LICHSGFIN
208,GLAXO,GLAXO,https://www.screener.in/company/GLAXO/consolidated/,GlaxoSmithKline Pharmaceuticals Limited,GLAXO
209,DELHIVERY,DELHIVERY,https://www.screener.in/company/DELHIVERY/consolidated/,Delhivery Limited,DELHIVERY
210,BDL,BDL,https://www.screener.in/company/BDL/,Bharat Dynamics Limited,BDL
211,STARHEALTH,STARHEALTH,https://www.screener.in/company/STARHEALTH/,Star Health and Allied Insurance Company Limited,STARHEALTH
212,FORTIS,FORTIS,https://www.screener.in/company/FORTIS/consolidated/,Fortis Healthcare Limited,FORTIS
213,BIOCON,BIOCON,https://www.screener.in/company/BIOCON/consolidated/,Biocon Limited,BIOCON
214,COROMANDEL,COROMANDEL,https://www.screener.in/company/COROMANDEL/consolidated/,Coromandel International Limited,COROMANDEL
215,NLCINDIA,NLCINDIA,https://www.screener.in/company/NLCINDIA/consolidated/,NLC India Limited,NLCINDIA
216,TATAINVEST,TATAINVEST,https://www.screener.in/company/TATAINVEST/consolidated/,Tata Investment Corporation Limited,TATAINVEST
217,JKCEMENT,JKCEMENT,https://www.screener.in/company/JKCEMENT/consolidated/,JK Cement Limited,JKCEMENT
218,IPCALAB,IPCALAB,https://www.screener.in/company/IPCALAB/consolidated/,IPCA Laboratories Limited,IPCALAB
219,METROBRAND,METROBRAND,https://www.screener.in/company/METROBRAND/consolidated/,Metro Brands Limited,METROBRAND
220,KEI,KEI,https://www.screener.in/company/KEI/,KEI Industries Limited,KEI
221,ESCORTS,ESCORTS,https://www.screener.in/company/ESCORTS/consolidated/,Escorts Kubota Limited,ESCORTS
222,LLOYDSME,LLOYDSME,https://www.screener.in/company/LLOYDSME/,Lloyds Metals And Energy Limited,LLOYDSME
223,GLAND,GLAND,https://www.screener.in/company/GLAND/consolidated/,Gland Pharma Limited,GLAND
224,IGL,IGL,https://www.screener.in/company/IGL/,Indraprastha Gas Limited,IGL
225,NAM-INDIA,NAM-INDIA,https://www.screener.in/company/NAM-INDIA/consolidated/,Nippon Life India Asset Management Limited,NAM-INDIA
226,APOLLOTYRE,APOLLOTYRE,https://www.screener.in/company/APOLLOTYRE/consolidated/,Apollo Tyres Limited,APOLLOTYRE
227,JUBLFOOD,JUBLFOOD,https://www.screener.in/company/JUBLFOOD/consolidated/,Jubilant Foodworks Limited,JUBLFOOD
228,POWERINDIA,POWERINDIA,https://www.screener.in/company/POWERINDIA/,Hitachi Energy India Limited,POWERINDIA
229,MSUMI,MSUMI,https://www.screener.in/company/MSUMI/,Motherson Sumi Wiring India Limited,MSUMI
230,BANDHANBNK,BANDHANBNK,https://www.screener.in/company/BANDHANBNK/,Bandhan Bank Limited,BANDHANBNK
231,DEEPAKNTR,DEEPAKNTR,https://www.screener.in/company/DEEPAKNTR/consolidated/,Deepak Nitrite Limited,DEEPAKNTR
232,ZFCVINDIA,ZFCVINDIA,https://www.screener.in/company/ZFCVINDIA/,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA
233,AJANTPHARM,AJANTPHARM,https://www.screener.in/company/AJANTPHARM/consolidated/,Ajanta Pharma Limited,AJANTPHARM
234,KPRMILL,KPRMILL,https://www.screener.in/company/KPRMILL/consolidated/,K.P.R. Mill Limited,KPRMILL
235,SYNGENE,SYNGENE,https://www.screener.in/company/SYNGENE/consolidated/,Syngene International Limited,SYNGENE
236,EIHOTEL,EIHOTEL,https://www.screener.in/company/EIHOTEL/consolidated/,EIH Limited,EIHOTEL
237,APARINDS,APARINDS,https://www.screener.in/company/APARINDS/consolidated/,Apar Industries Limited,APARINDS
238,NATIONALUM,NATIONALUM,https://www.screener.in/company/NATIONALUM/,National Aluminium Company Limited,NATIONALUM
239,TATACHEM,TATACHEM,https://www.screener.in/company/TATACHEM/consolidated/,Tata Chemicals Limited,TATACHEM
